0,201912
1,202001
2,202002
3,202003
4,202004
5,202005
6,202006
7,202007
8,202008
9,202009
10,202010
11,202011
12,202012
13,202101
14,202102
15,202103
16,202104
17,202105
18,202106
19,202107
20,202108
21,202109
22,202110
23,202111
24,202112
25,202201
26,202202
27,202203
28,202204
29,202205
30,202206
31,202207
32,202208
33,202209
34,202210
35,202211
36,202212
37,202301
38,202302
39,202303
40,202304
41,202305
42,202306
43,202307
44,202308
45,202309
46,202310
47,202311
48,202312
49,202401
50,202402
51,202403
52,202404
53,202405
54,202406
55,202407
56,202408
57,202409
58,202410
59,202411
60,202412
61,202501
62,202502
63,202503
64,202504
65,202505
66,202506
67,202507
68,202508
69,202509
70,202510
71,202511
72,202512
73,202601
74,202602
75,202603
76,202604
77,202605
78,202606
79,202607
80,202608
81,202609
82,202610
83,202611
84,202612
85,202701
86,202702
87,202703
88,202704
89,202705
90,202706
91,202707
92,202708
93,202709
94,202710
95,202711
96,202712
97,202801
98,202802
99,202803
100,202804
101,202805
102,202806
103,202807
104,202808
105,202809
106,202810
107,202811
108,202812
109,202901
110,202902
111,202903
112,202904
113,202905
114,202906
115,202907
116,202908
117,202909
118,202910
119,202911
120,202912
121,203001
122,203002
123,203003
124,203004
125,203005
126,203006
127,203007
128,203008
129,203009
130,203010
131,203011
132,203012
133,203101
134,203102
135,203103
136,203104
137,203105
138,203106
139,203107
140,203108
141,203109
142,203110
143,203111
144,203112
145,203201
146,203202
147,203203
148,203204
149,203205
150,203206
151,203207
152,203208
153,203209
154,203210
155,203211
156,203212
157,203301
158,203302
159,203303
160,203304
161,203305
162,203306
163,203307
164,203308
165,203309
166,203310
167,203311
168,203312
169,203401
170,203402
171,203403
172,203404
173,203405
174,203406
175,203407
176,203408
177,203409
178,203410
179,203411
180,203412
181,203501
182,203502
183,203503
184,203504
185,203505
186,203506
187,203507
188,203508
189,203509
190,203510
191,203511
192,203512
193,203601
194,203602
195,203603
196,203604
197,203605
198,203606
199,203607
200,203608
201,203609
202,203610
203,203611
204,203612
205,203701
206,203702
207,203703
208,203704
209,203705
210,203706
211,203707
212,203708
213,203709
214,203710
215,203711
216,203712
217,203801
218,203802
219,203803
220,203804
221,203805
222,203806
223,203807
224,203808
225,203809
226,203810
227,203811
228,203812
229,203901
230,203902
231,203903
232,203904
233,203905
234,203906
235,203907
236,203908
237,203909
238,203910
239,203911
240,203912
241,204001
242,204002
243,204003
244,204004
245,204005
246,204006
247,204007
248,204008
249,204009
250,204010
251,204011
252,204012
253,204101
254,204102
255,204103
256,204104
257,204105
258,204106
259,204107
260,204108
261,204109
262,204110
263,204111
264,204112
265,204201
266,204202
267,204203
268,204204
269,204205
270,204206
271,204207
272,204208
273,204209
274,204210
275,204211
276,204212
277,204301
278,204302
279,204303
280,204304
281,204305
282,204306
283,204307
284,204308
285,204309
286,204310
287,204311
288,204312
289,204401
290,204402
291,204403
292,204404
293,204405
294,204406
295,204407
296,204408
297,204409
298,204410
299,204411
300,204412
301,204501
302,204502
303,204503
304,204504
305,204505
